sebi_id,name,reg_no,category,contact_person,email,telephone,fax,website,domain,pincode,city,state,address,correspondence_address,validity,sebi_type
1,021 Capital Trust,IN/AIF1/17-18/0384,Category I,Sailesh Tulshan,sailesh@021.capital,,,,,560102,Bangalore,Karnataka,"No 26, Ozone Residenza,  3 3 Harlur Main Road, HSR Layout, BANGALORE, KARNATAKA, 560102",,"Nov 06, 2017 - Perpetual",aif
2,021 CAPITAL TRUST - II,IN/AIF2/21-22/1013,Category II,Sailesh Tulshan,saileshtulshan@gmail.com,,,,,560102,Bangalore,Karnataka,"No. 26, Ozone Residenza,, 3/3 Harlur Main Road,HSR Layout, Bangalore, BANGALORE, KARNATAKA, 560102","No. 26, Ozone Residenza, 3/3 Harlur Main Road,HSR Layout, Bangalore, BANGALORE, KARNATAKA, 560102","Mar 14, 2022 - Perpetual",aif
3,1000X CAPITAL TRUST,IN/AIF2/25-26/1983,Category II,Shivaanii  Kedia,Info@1000x.co.in,,,,,700007,Kolkata,West Bengal,"17, Balmukund Mackar Road, 2nd Floor, Room No. 8, KOLKATA, WEST BENGAL, 700007","17, Balmukund Mackar Road, 2nd Floor, Room No. 8, KOLKATA, WEST BENGAL, 700007","Dec 10, 2025 - Perpetual",aif
4,1008 Bharat Growth Trust,IN/AIF3/25-26/1864,Category III,Rajen Gada,1008bharatgrowth@gmail.com,,,,,400093,Mumbai,Maharashtra,"502, The Summit Business Bay, Andheri Kurla Road,, Near Cinemax, Andheri East, Chakala MIDC,, MUMBAI, MAHARASHTRA, 400093","502, The Summit Business Bay, Andheri Kurla Road, Near Cinemax, Andheri East, Chakala MIDC, MUMBAI, MAHARASHTRA, 400093","Jul 29, 2025 - Perpetual",aif
5,100Unicorns,IN/AIF2/23-24/1342,Category II,Ankit Jain,ankit@9unicorns.in,,,,,400059,Mumbai,Maharashtra,"9th Floor, Unit No1, Times Square, Venture Catalysts Private Limited, B Wing, Near Marol Metro Station, Andheri East, Mumbai., MUMBAI, MAHARASHTRA, 400059","9th Floor, Unit No1, Times Square, Venture Catalysts Private Limited, B Wing, Near Marol Metro Station, Andheri East, Mumbai., MUMBAI, MAHARASHTRA, 400059","Sep 11, 2023 - Perpetual",aif
6,108 Capital Venture Fund,IN/AIF2/23-24/1349,Category II,Nimesh Kampani,nk@108.vc,,,,,400018,Mumbai,Maharashtra,"104, Shiv Smriti chambers, 49A, Dr. Annie Besant Road, Worli, Mumbai, 400018, MUMBAI, MAHARASHTRA, 400018","104, Shiv Smriti chambers, 49A, Dr. Annie Besant Road, Worli, Mumbai, 400018, MUMBAI, MAHARASHTRA, 400018","Sep 15, 2023 - Perpetual",aif
7,11H Holdings,IN/AIF3/23-24/1391,Category III,Ronak Shah,ronak@11hadvisors.com,,,,,380059,Ahmedabad,Gujarat,"2B, Samved, Near Sopan Tower, Navrangpura, Ahmedabad, AHMEDABAD, GUJARAT, 380059","2B, Samved, Near Sopan Tower, Navrangpura, Ahmedabad, AHMEDABAD, GUJARAT, 380059","Nov 23, 2023 - Perpetual",aif
8,129 Wealth Trust,IN/AIF3/24-25/1602,Category III,Prasenjit Kumar Paul,info@paulasset.com,,,,,700156,Kolkata,West Bengal,"4th Floor DGK 407 The Galleria Action Area1, New Town Parganas, KOLKATA, WEST BENGAL, 700156","4th Floor DGK 407 The Galleria Action Area1, New Town Parganas, KOLKATA, WEST BENGAL, 700156","Sep 26, 2024 - Perpetual",aif
9,16 Alpha Alternatives Technologies Fund,IN/AIF3/24-25/1586,Category III,Pushan Jain,office@16alpha.in,,,,,110001,New Delhi,National Capital Territory Of Delhi,"207M Kailash Building, 26 Kasturba Gandhi Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","207M Kailash Building, 26 Kasturba Gandhi Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Sep 02, 2024 - Perpetual",aif
10,1950 Ventures AIF,IN/AIF2/26-27/2197,Category II,,,,,,,560079,Mumbai,Maharashtra,"No 329 First Floor 3rd Stage 4th Block, Basaveshwaranagar Bangalore North, MUMBAI, MAHARASHTRA, 560079",,"May 27, 2026 - Perpetual",aif
11,1Funds Trust,IN/AIF1/17-18/0344,Category I,,,,,,,400051,Mumbai,Maharashtra,"601,6th Floor Keshava,  Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,"Jun 27, 2017 - Perpetual",aif
12,1Funds Trust 2,IN/AIF1/22-23/1078,Category I,Anil Gudibande,anil.gudibande@1crowd.co,,,,,400052,Mumbai,Maharashtra,"First Floor, Flat No. 101,Siddhivinayak, Union Park, 1st Cross Road, Khar West,, MUMBAI, MAHARASHTRA, 400052","First Floor, Flat No. 101,Siddhivinayak, Union Park, 1st Cross Road, Khar West, MUMBAI, MAHARASHTRA, 400052","Jun 04, 2022 - Perpetual",aif
13,247VC Investment Trust,IN/AIF2/25-26/1810,Category II,Yagnesh Sanghrajka,yagnesh@247vc.in,,,,,400079,Mumbai,Maharashtra,"10th Floor, 1006, The Address by Wadhwa Group, LBS Marg, Opp RCity Mall, Ghatkopar West, MUMBAI, MAHARASHTRA, 400086","91, Springboard, Godrej Compound, Opp Vikhroli Bus Depot, LBS Marg, Vikhroli West, MUMBAI, MAHARASHTRA, 400079","May 21, 2025 - Perpetual",aif
14,2Point2 Capital Trust,IN/AIF3/19-20/0686,Category III,Bhavit Visaria,bhavit@2point2capital.com,,,,,400060,Mumbai,Maharashtra,"D/907 Oberoi Splendor, Opp. Majas Depot JV Link Road Andheri East, MUMBAI, MAHARASHTRA, 400060","D/907 Oberoi Splendor, Opp. Majas Depot JV Link Road Andheri East, MUMBAI, MAHARASHTRA, 400060","Apr 23, 2019 - Perpetual",aif
15,31 Degrees North Fund,IN/AIF3/25-26/1798,Category III,Tejas Shah,tejasshah@31degreesnorth.in,,,,,380009,Ahmedabad,Gujarat,"23 Narayan Chambers, Opp Patang Hotel Nr Nehru Bridge Ellisbridge, AHMEDABAD, GUJARAT, 380009","23 Narayan Chambers, Opp Patang Hotel Nr Nehru Bridge Ellisbridge, AHMEDABAD, GUJARAT, 380009","Apr 24, 2025 - Perpetual",aif
16,35North India Growth Fund Trust,IN/AIF1/17-18/0321,Category I,,,,,,,,,,,,"Apr 19, 2017 - Perpetual",aif
17,360 ONE ALTERNATIVE OPPORTUNITIES FUND,IN/AIF3/16-17/0286,Category III,Ashutosh Naik,ashutosh.naik@iiflw.com,,,,,400013,Mumbai,Maharashtra,"IIFL Centre, Kamala city, Senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013",,"Dec 22, 2016 - Perpetual",aif
18,360 ONE Asset Angel Fund 1,IN/AIF1/21-22/1011,Category I,Nandini Mansinghka,nandini@mumbaiangels.com,,,,,400013,Mumbai,Maharashtra,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Mar 14, 2022 - Perpetual",aif
19,360 ONE Opportunities Fund,IN/AIF3/12-13/0016,Category III,Meetali  Mistry,Meetali.Mistry@iiflw.com,,,,,400013,Mumbai,Maharashtra,"IIFL Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,"Nov 16, 2012 - Perpetual",aif
20,360 ONE Private Equity Fund,IN/AIF2/12-13/0015,Category II,Ashutosh Naik,ashutosh.naik@iiflw.com,,,,,400013,Mumbai,Maharashtra,"360 ONE Centre, Kamala City, Senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013",,"Nov 16, 2012 - Perpetual",aif
21,360 ONE Venture Capital Trust,IN/AIF2/20-21/0838,Category II,Samay Kala,samay@scaleventurecap.com,,,,,400013,Mumbai,Maharashtra,"360 ONE Centre, Kamala Mills Compound, Senapati Bapat Marg,, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013","360 ONE Centre, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013","Nov 02, 2020 - Perpetual",aif
22,360 Rising Straits Capital Fund,IN/AIF2/20-21/0830,Category II,Gaurav Rakyan,gaurav@risingstraits.com,000000001244353830,000000001244353830,,,122002,Gurgaon,Haryana,"Unit No 1117, 11th Floor, Tower B, Vatika Towers, Golf Course Road, Sector 54, GURGAON, HARYANA, 122002","Unit No. 1117, 11th Floor, Tower B, Vatika Towers, Golf Course Road, Sector 54, Gurgaon, GURGAON, HARYANA, 122002","Oct 07, 2020 - Perpetual",aif
23,3F Ventures,IN/AIF1/16-17/0301,Category I,,,,,,,400027,Mumbai,Maharashtra,"Unit No 4, Jetha Compound,Opp Nirmal Park, Byculla East, MUMBAI, MAHARASHTRA, 400027",,"Feb 20, 2017 - Perpetual",aif
24,3IPARTNERS FUND,IN/AIF2/26-27/2177,Category II,Kavya Agarwal,kavya@3ipartners.net,,,,,560066,Bangalore,Karnataka,"EPIP F 26, Plot No. 77, SY No 150,, EPIP Layout, Whitefield, BANGALORE, KARNATAKA, 560066",,"May 13, 2026 - Perpetual",aif
25,3ONE4 CAPITAL BREAKTHROUGH DYNAMICS FUND,IN/AIF2/25-26/2006,Category II,SIDDARTH PAI,DEEPAK@3ONE4CAPITAL.COM,,,,,560001,Bangalore,Karnataka,"OFFICE NO. 01, 5th FLOOR, 1 SOBHA, 50 ST. MARKS ROAD, BANGALORE, KARNATAKA, 560001","OFFICE NO. 01, 5th FLOOR, 1 SOBHA, 50 ST. MARKS ROAD, BANGALORE, KARNATAKA, 560001","Jan 02, 2026 - Perpetual",aif
