sebi_id,name,reg_no,category,contact_person,email,telephone,fax,website,domain,pincode,city,state,address,correspondence_address,validity,sebi_type
1,1 Finance Private Limited,INA000017523,,Mohan Kumar,compliance@1finance.co.in,00007738942481,00007738942481,,,400063,Mumbai,Maharashtra,"Marwadi Financial Plaza Nana Mava  Main Road, Off 150 Feet Ring Road, RAJKOT, GUJARAT, 360001","Unit No B- 1101/1102, 11th Floor B Wing, Lotus Corporate Park Off Western Express Highway Goregaon (E), MUMBAI, MAHARASHTRA, 400063","Dec 22, 2022 - Perpetual",investment-advisers
2,21G INVESTMENT ADVISERS PRIVATE LIMITED,INA000017231,,GAURAV VERMA,INFO@21GINVESTMENTS.COM,917717577141,917717577141,,,141003,Ludhiana,Punjab,"2455 GR, DN ARJAN NAGAR, R S ROAD, LUDHIANA, PUNJAB, 141003","2455 GR, DN ARJAN NAGAR, R S ROAD, LUDHIANA, PUNJAB, 141003","Oct 07, 2022 - Perpetual",investment-advisers
3,29K INVESTMENT ADVISERS PRIVATE LTD,INA200000365,,Prashanth Prabhu,adviser@29kadvisers.com,919900422411,919900422411,,,560011,Bangalore,Karnataka,"No.390, 7th Main, 9th Cross, Jayanagar 2nd Block, BANGALORE, KARNATAKA, 560011","No.390, 7th Main, 9th Cross, Jayanagar 2nd Block, BANGALORE, KARNATAKA, 560011","Nov 27, 2013 - Perpetual",investment-advisers
4,360 ONE Investment Adviser and Trustee Services Limited,INA000000888,,Deepika Ghagare,advcompliance@360.one,0918268532456,0918268532456,,,400013,Mumbai,Maharashtra,"IIFL Centre, Kamala Mills, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","7th Floor,IIFL Centre, Kamala Mills Compound,Senapati Bapat Marg,Lower Parel (West), MUMBAI, MAHARASHTRA, 400013","Jan 22, 2014 - Perpetual",investment-advisers
5,3Q FINANCIAL SERVICES PRIVATE LIMITED,INA000020794,,Ketan Sarda,ketan@3qwealth.com,00919833822825,00919833822825,,,411005,Pune,Maharashtra,"1195/2Anandi Gopal Apts, F C Road, Shivajinagar, Pune, PUNE, MAHARASHTRA, 411005","1195/2Anandi Gopal Apts, F C Road, Shivajinagar, Pune, PUNE, MAHARASHTRA, 411005","Aug 05, 2025 - Perpetual",investment-advisers
6,90-10 Financial Planners Pvt Ltd,INA200008291,,Rajesh Rao,rajesh@90to10.com,,,,,560041,Bangalore,Karnataka,"Jaiganesh, New No.1 and Old No. 321, 36th A Cross, 7th Main, 5th Block, Jayanagar,, BANGALORE, KARNATAKA, 560041","Jaiganesh, New No.1 and Old No. 321, 36th A Cross, 7th Main, 5th Block, Jayanagar, BANGALORE, KARNATAKA, 560041","Aug 22, 2017 - Perpetual",investment-advisers
7,A58 KNOWLEDGE SERVICES PRIVATE LIMITED,INA000022419,,Zaharah Sheriff,legal@a58.in,00919870007040,00919870007040,,,400053,Mumbai,Maharashtra,"1E-1101, New Mhada Complex, Lokhandwala Circle, Andheri, MUMBAI, MAHARASHTRA, 400053","1E-1101, New Mhada Complex, Lokhandwala Circle, Andheri, MUMBAI, MAHARASHTRA, 400053","May 05, 2026 - Perpetual",investment-advisers
8,Aarti Mohan (Proprietor : Aurion Advisors),INA000016454,,AARTI MOHAN,AARTIM159@GMAIL.COM,,,,,400050,Mumbai,Maharashtra,"Flat No. 5 Friendship Apartment, 23rd Rd, Bandra West, MUMBAI, MAHARASHTRA, 400050","Flat No. 5 Friendship Apartment, 23rd Rd, Bandra West, MUMBAI, MAHARASHTRA, 400050","Dec 07, 2021 - Perpetual",investment-advisers
9,AAUM INVESTMENT ADVISERS PRIVATE LIMITED,INA100005050,,Mahesh Parasuraman,info@aaumcapital.com,918046316600,918046316600,,,560072,Bangalore,Karnataka,"Flat no. No. 6, Flat No. 006, Nanda Ashirwad Apartments, , No.1, Canara Bank Colony, 2nd Main, Chandra Layout, Nagarbhavi, Bengaluru North, BANGALORE, KARNATAKA, 560072","Flat no. No. 6, Flat No. 006, Nanda Ashirwad Apartments, , No.1, Canara Bank Colony, 2nd Main, Chandra Layout, Nagarbhavi, Bengaluru North, BANGALORE, KARNATAKA, 560072","Jun 28, 2016 - Perpetual",investment-advisers
10,Aavishkaar Investment Advisers IFSC Private Limited,INAIFSC10001,,Shyamkant Joshi,shyam@aavishkaar.in,912261248915,912261248915,,,400062,Mumbai,Maharashtra,"Unit 608, Signature, 6th Floor, Bldg No 13B, Block No 13, Zone 1, Road 1C, Gift SEZ, Gift City, GANDHINAGAR, GUJARAT, 382355","13B, 6th Floor, Techniplex II, Off. Veer Savarkar Flyover, Goregaon West, MUMBAI, MAHARASHTRA, 400062","Aug 28, 2020 - Perpetual",investment-advisers
